id,host_id,accuracy,cleanliness,checkin,communication,location,value,number_of_reviews,listing_url,name,neighborhood,room_type,description,latitude,longitude
7837187,7904459,10,10,10,10,10,10,1,https://www.airbnb.com/rooms/7837187,Cozy studio blocks from Capitol,"Capitol Hill, Lincoln Park",Entire home/apt,"4 blocks from the Capitol, 3 blocks to Eastern Market Metro, 10 minute walk to the Navy Yard waterfront, 5 minute walk to the 8th St restaurants!  Live like a local in this charming English studio located in the quaint Capitol Hill southeast neighborhood of DC.   Free parking, W/D, kitchen, wood-burning fireplace.  Relax in the private brick-paved out-door patio.",38.88364555156826,-76.99981025620042
6325652,6166967,10,10,10,9,10,10,3,https://www.airbnb.com/rooms/6325652,Spacious/Light Apt right on Dupont!,"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,"Right on Dupont circle 3 mins walking to Dupont metro station, sunshine is in the apt all day, amazing view of the city, gym is available in the building. 8 months old furniture with queen bed. Rooftop access and laundry room. Roof Top Gym Washer/Dryer Wireless Internet Walking distance to:  - Dupont red line metro station - 18th street and U street nightlife - White House - National Mall - Smithsonian Museums - Foggy Bottom, Logan Circle Bus stop is 1 min, metro is 3 min walking distance",38.909288182637724,-77.0456587016336
7302614,601702,10,10,10,10,9,10,5,https://www.airbnb.com/rooms/7302614,"Modern, cozy condo; lovely location","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,"You will love this spacious, modern one-bedroom condo located in a charming building on a quiet street in a central location very close to the U Street corridor, Logan Circle, Dupont Circle, Columbia Heights, the thriving 14th Street area, and more. Location matters! You'll be close to everything when you stay in this one-bedroom condo ideally located in a chic, modern building in the heart of the most thriving area of Washington, DC. You’ll enjoy: •A comfortable, private bedroom •A fold-out couch in a tasteful living room •Large-screen TV with home theater/sound system •A warm, comfy, private patio where you can enjoy a meal, drinks, or just enjoy a pleasant day or evening.  •Modern, fully equipped kitchen with marble countertops, and full access to glassware, silverware, china, etc. •Clean, spacious bathroom with tub/shower, toilet & sink •Walk-in closet with brand-new Elfa shelving •In-unit clothes washer and dryer •Modern furnishings and décor •Parking space in a secure parking gar",38.920750120056034,-77.03268844561327
8482771,44675327,10,10,10,10,10,10,1,https://www.airbnb.com/rooms/8482771,Studio Available Pope Francis Visit,"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,"Great location right in the heart of downtown Washington, DC. Eight story apartment building with laundry, fitness center, and club room on site. Easy access to The White House, St. Matthew's Cathedral, and metro to get around the city. Viva il Papa!",38.905923204944074,-77.03563704831814
5151884,16926386,10,9,10,10,10,9,5,https://www.airbnb.com/rooms/5151884,Studio w/ Balcony in Foggy Bottom,"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,"Spacious & well-lit 7th floor studio with a fully equipped kitchen, bathroom, dining area & living space. Full size bed can sleep 2 comfortably, but the space also has a convertible futon. In total it can fit 3-4 people. Parking is not included, though you can park on the street or at a nearby garage for a fee. Access to studio with kitchen, bathroom & balcony, small work out room on first floor, and roof top pool (seasonally, after labor day open until 9/20 on weekends only).  Apple TV, kitchen appliances, tools and utensils are available for your use, but all other personal items (with the exception of basic toiletries as clearly marked) are off limits. Awesome location just off Washington Circle in Foggy Bottom, between Georgetown, Dupont, The Golden Triangle and the National Mall. Short walk to White House, monuments, restaurants, and bars/nightclubs. Walkable community. Conveniently located near red, blue, orange and silver metro lines. Also accessible by bus, uber & taxi.",38.90340219983582,-77.04914240375247
4370337,22687284,10,10,10,10,10,10,1,https://www.airbnb.com/rooms/4370337,Great room on the outskirts of DC,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Shared room,"I have a small couch that I will rent out when I am away on holidays. I live in a lovely home with all of the amenities you would require. Very accessible to public transportation. The apartment is located in an incredible location near public transportation Guests will have access to the living room, kitchen and bathroom If I am around, I will be happy to show you the city when I'm off work :) The neighborhood is quiet and central, ideal for people wanting to get away from the hustle and bustle of the city. Yes public transport is within walking distance",38.932531962064736,-77.02651327783244
5782754,7322004,10,10,9,10,10,10,3,https://www.airbnb.com/rooms/5782754,"Sunny, Charming, Perfect Location","Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,"This bright and comfortable one bedroom apartment is located in one of DC's best neighborhoods. Walking distance from some of the city's favorite restaurants, bars, and parks. Situated on a quiet, tree-lined street. This one bedroom has high ceilings and tons of light. Comfortably accommodates two people. Clean, spacious, and quiet. The apartment is all yours!  There's also a basement washer-dryer unit that guests may access. We are more than happy to give recommendations and help travelers enjoy our home! Dupont Circle is the perfect location. Centrally located and within 5-10 minutes distance of 14th Street, U Street, and Adams Morgan neighborhoods. Most importantly, it's a safe neighborhood. Located within 5-10 minute walk of Dupont Circle and U St. metro stations and several bus lines. Street parking is also available.",38.912545602097374,-77.04109212871802
6487391,22611225,10,10,10,10,10,10,4,https://www.airbnb.com/rooms/6487391,Sunny 1BR in Historic Rowhouse!,"Dupont Circle, Connecticut Avenue/K Street",Private room,"Enjoy a large, quiet, and sunny suite with full size bed, renovated and large private bathroom, sofa, Apple TV, Nespresso machine, water kettle, mini fridge, and TV.  The room is located at the top floor of charming historic Victorian row house in the heart of West End neighborhood of Washington DC.  In few steps you have multiple options of restaurants, metro stations, bus stations, historic monuments museums.  Perfect for professionals and students! Spacious bedroom includes insuite bathroom, large sofa, tv, apple TV, Nespresso, tea, mini fridge, and great view of Newport Place. Prime location for professionals and students. No kitchen privileges - not necessary when plenty of near cafes, restaurants, farmers market (on saturdays) & food grocery shops. Plenty of public transport around. Room has TV with an Apple TV, open Netflix, HBO, Wifi, Nespresso machine, water kettle, tea, and a Brita water dispenser. I'll greet you when you arrive and maybe see you when you leave, but I will be",38.909237321311046,-77.04646684427625
7820526,40629622,10,10,10,10,10,10,1,https://www.airbnb.com/rooms/7820526,Dupont Adams Morgan Fab Fantasy!,"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,"Sunny, renovated, and classy apartment in one of DC's best and most convenient neighborhoods, straddling Dupont Circle and Adams Morgan. This beautifully decorated furnished two bedroom, one bath apartment comes with a Queen bed, 2 Twin beds, plus a futon sofa sleeper in the living room. It is great for family and friends, and can accommodate up to 6 guests. Street parking is possible but a good walk is likely, we are also nearby many parking garages. Includes Wi-Fi, Cable TV, fully furnished, fully equipped kitchen, linens, towels, sheets, etc. Great for short or long term stays. Stays less than 90 days subject to DC hotel tax of 14.5%. Fair housing laws enthusiastically followed. We do not pass around keys for your safety. An email will be sent from eRentalLock with a randomly generated combination code to access your place. Our team is only a phone call away for any needs you may have during your stay. Great location on quiet street, yet walk to restaurants, cafes, clubs, and the Wh",38.91631931309267,-77.0424123090833
3583410,14229159,10,10,10,10,10,10,2,https://www.airbnb.com/rooms/3583410,Room available in a Group House,"Dupont Circle, Connecticut Avenue/K Street",Private room,"Room for rent in a group house in the heart of Dupont Circle for Nov. The room is lightly furnished or could come unfurnished. The roommates are a coed group of open-minded mid 20- to mid 30-something working professionals. Room for rent in a group house. The room is lightly furnished or could come unfurnished. The rent for the month is $1500 and includes all utilities.  The roommates are a coed group of open-minded mid 20- to mid 30-something working professionals. The house is a grand old brownstone row house near the corner of 17th St. and Q St., NW. It has lots of common space downstairs and is fully furnished. There is also a washer/dryer onsite. It is located three blocks to the Dupont metro, half a block to Safeway, CVS, bikeshare, and the restaurants, bars, dry cleaners, hardware stores, etc., of 17th St. Private backyard with patio and bbq grill. We live in the basement apartment so are always available if you need us. We are right in the heart of Dupont Circle... need we say ",38.91046629645636,-77.03823952541524
